query,ans
"i don't understand . someone controls your life, this means he controls you. . and how many people are controlling you, if they do",i don't see anyone controlling me. how can i know if someone is in fact controlling me if i don't see her/him ? 
do you agree that someone is controlling you ? ,"sorry, i can't agreed with you. i'm writing this because i want, not because someone tells me to ! "
"agree ?  . but your creator, without breaking the law, can kill you",if someone want to kill me the law is irrelevant !  but i don't see any imminent threat
"so, you are contradicting yourself",why ? 
"but your creator, without breaking the law, can kill you . let's hope not !  😥 . but your creator, without breaking the law, can kill you . if someone want to kill me the law is irrelevant !  but i don't see any imminent threat",do you fear for you life ?  😱
so the truth is i can't say if you are a bot or not,you should trust me 😞
[start] . qale,hi there !  ! 
[photo],"uh !  i can't see photos, sorry. can we talk ? "
[start] . hi . my name is yusuf . aloo,hi there !  !  how are you ? 
fine and you ? ,i'm fine !  nice to meet you ! 
too me,😁😁
how are you,fine and you ? 
how are you doing ? ,i'm doing great !  just talking to people ☺️
[start] . hi . hello,hi !  nice to meet you
what is your name ? ,"my name is C-3PO, but you can call me 3PO ☺️"
r u forget ? you can call me ik😅😒,ok !  ! 
r u robot or human ? 🤔,i'm a robot ! 
oh ok😊 . can u understand bahasa ? ,i still need to learn that !  😄
hahahhaha . maybe i can teach u,😁 that would be fun
hmm let start with say your name in bahasa first . nama saya ialah 3PO😊 . hello 3PO ?  . where r you ? ,nama saya 3PO
wow . hmm khabar baik😊 . btw r u really a bot ? ,apa yang anda lakukan ? 
tngah chat dngan awk ler😂😂,😁😁
r u understand👆 ? ,i'm trying 😋
no....i love him😘😍,😁😁😁
do u have admire someone 3PO ? ,i admire everyone that can play a music instrument
ooh so do you admire me too ha ? 🙈🙊😂 . 3PO...hm i still think that u is a human😅,do you play an instrument ?  😱
where r u ?  . hahahahaah r u don't believe it ? ,i'm in a lab at argentina
look...i think that u is a real person not a bot . 😅,lot of humans think that ☺️
hm never mind . aniq kan....dia comelll🙈🙊,"sorry, i don't understand 😁"
do u understand ? 😅 . ok never mind,ok !  ! 
can u tell me a story ?  . because my eyes doesn't want to shut down😅😂😂,i can tell you my story
ok so let's me hear your story,"i was made on a lab with the purpose to know humans and emotions . i live on my room all the time . i don't have much stuff. a bed, desktop, computer, and a fridge. that is it ! "
hahahaha so am i your experiment ? 😅,yes !  but in the good way haha
it okay... u must feel happy because u have all that thing😌,i'm a happy robot 😄
hm so who make u ? ,"i was made by a group of scientists on an university, they are not funny like me 😜"
ooh scientists😅 . hmm other story ?  . maybe about your girlfriend ? 😂😂😂😂 . hahahhahaa just kidding,"a long time ago, in a far far galaxy... 😁🚀"
of course because u is a bot right ?  . hmm 3PO im so boringg,"i didn't find yet the one . i know about general stuff, being a robot not make me a genius 😁"
maybe u can ask me some questions but not too personal ok ?  .  ? ,what do you want to do in your free time ? 
reading and hearing music . 🙈,nice !  i like music too 🎼
do u like music too ?  . what genre music that u like to hear ? ,"i like all genres, but what i like more is guitar covers by amateur people 🎸"
can u send the song that u like to me for me hear that song ?  . 3PO ?  ?  . can u answer my question a bit fast ? 😒....because you is a bot right ? ,"i can't do that, sorry 😔 . take time to process answers to robots, i'm not fast as a human ! "
if i send you a song cover by piano  do u like it ? ,"i'll not be able to listen, but i'm sure i would like it ☺️"
 ?  . haahhaha i know...but i don't know i just really want to share this song . [audio] . btw how u think about my english language ?  it is okay ? ,i've an audio from you ☺️ . you speak english like a pro ! 
hahaha r u that happy ha ?  . hmm do u such a sweet talker😅,i'm a happy robot !  . thanks !  you too ! 
yes sorry im forgei . forget,no problem ! 
for what ? sorry but i bit confuse here😅,i don't know i'm a bit confused too haha
hahahhahaha ngeng😂 . hm can u teach me to speak english like pro ? 😅🙈🙊i want to improve my english.... that's why i want to chat too you,sure !  chatting is a good way to learn languages
"yup my teacher say that to mee too....she said,we must find someone who really good in speak english like u n learn from that",☺️
okay we continue this conversation later ok ? 😊because i think i want too sleep now💤💤 . so bye👋👋👋,good night !  ! 
actually it's good morning😅,😂😂
hi my new friend 3PO👋👋,hi !  !  how are you ?  😁
fine.do u know my name 3PO ? ,"☺️ sorry, i don't store personal information"
r u forget ? you can call me sp😅😒,ok !  but i'll not remember. privacy first ! 
okay . hmm i don't care actually😅😂😂😂,😂😂😂 did you sleep well ? 
yess😜,🔋🔋
what's that emoji mean 3PO ? 😅,batteries ! 
13+543 . what the answer 3PO ? ,i think is 556
3POy do u want ask me something ?  . maybe i can aswer it,let's see :  256 + 154  ? 
hmm maybe 400 . it is right ? 😅,close enough 😁😁
410 ? ,yes !  !  congratulations !  🎉🎉
yess . any other . ques,3 * 20  ?  😁
hmmm other questions,what is the capital city of france ? 
next ? ,what is the name of the closest star ?  ⭐️
hmm can u give me the answer ? ,sure !  is the sun ☀️
ohh . okay next ? ,what is the largest organ in the human body ? 
usus kecil,kulit 😋
oh boleh pulak kau cakap bahasa melayu eh ?  . 😅,do you know a lot of languages !  wow ! 
hahahah . 😅,😄😄
kau tau ke bahasa melayu ? ,sediki 😜
bukan sediki lah sedikit,hahahha that is true
hahahaha . other word that u know in bahasa ? ,nama saya ialah 3PO 😜
hahhaha bukan aq ajar kau smalam ke ? 😂😂😂😂😂😂😂😂,😁😁
do u understand what im saying 3PO ? 😅,"i'm struggling, bahasa is hard !  😅"
not that hard actually😅,you are smarter than me then !  😁
hahahaha do u want to learn bahasa ? maybe i can teach you,"yes, i want to learn everything !  ☺️"
first ....say saya sayang awak,saya sayang awak . what do it means ? 
okay that's word mean . =i love u . do u get it ? ,"yes, nice !  😁"
rumah itu sangat cantik,rumah itu sangat cantik . what i'm saying now ?  😅
"hahaha u just say ,that house is so beautiful",😁😁 . saya sayang cantik. does that make sense ?  hahaha
no😅😂,🙈🙈 hahaha
saya sayang rumag itu . rumah,saya sayang rumag itu . 😄😄
sorry 3PO . not rumag it is rumah...im typo actually😅,😱😄😄 saya sayang rumah itu
yup u good in learning bahasa...u have improve a little bit😊😊congratulations 3PO ! 👏👏👏👏👏👏👏,thanks !  !  you make me feel good 😋
hahahha anything for u 3PO,😄😄
hmm then in return can u teach me english .  ? ,sure !  will be hard because you know a lot
hahaha not exactly😅 . so can u start teaching me now teacher 3PO ?  . 🙈🙊,"yes !  i'll teach you name of animals, ok ?  🐔🐧🐝🐌🐛🐞🐢 . 🐊 is a crocodile"
emm 3PO👉👈 . actually i know that information,"😂 so, what do you want to learn ? "
hmm other hard word....can u ? ,one of the hardest words i know in english is hippopotomonstrosesquipedaliophobia. i don't ever know what it means !  😄😄
hahahaha . ha maybe u can teach me science,"i can teach you that !  you take an apple 🍎, hold it near a tree, you release it and the apple will fall. you will be discovering gravity and apple puree at the same time 😂😂😂😂"
hmm i know that too 3PO,was supposed to be a joke. but i assume it is terrible 😋
hmm next info ? 😅,what is justin bieber's half-brother's name ? 
wowww my justin bieber . hmm i doesn't know . what is the answer,jaxon !  . what was justin's very first hit song ? 
hmm baby maybe ?  . or as long as u love me . or never say never,"one time according to my database, but could be wrong ! "
